Data;Índice Geral de Preços do Mercado - IGP-M(200045);Índice Geral de Preços - IGP-DI (161384);IGP-M - Fechamento mensal (%)(1000367)
07/1987; - ;7,804132E-007; - 
08/1987; - ;8,155168E-007; - 
09/1987; - ;8,808966E-007; - 
10/1987; - ;9,790950E-007; - 
11/1987; - ;1,120723E-006; - 
12/1987; - ;1,298790E-006; - 
01/1988; - ;1,547402E-006; - 
02/1988; - ;1,820455E-006; - 
03/1988; - ;2,151096E-006; - 
04/1988; - ;2,588467E-006; - 
05/1988; - ;3,093478E-006; - 
06/1988; - ;3,737849E-006; - 
07/1988; - ;4,542933E-006; - 
08/1988; - ;5,583021E-006; - 
09/1988; - ;7,021114E-006; - 
10/1988; - ;8,957812E-006; - 
11/1988; - ;1,146326E-005; - 
12/1988; - ;1,477450E-005; - 
01/1989; - ;2,017558E-005; - 
02/1989; - ;2,255717E-005; - 
03/1989; - ;2,351083E-005; - 
04/1989; - ;2,472625E-005; - 
05/1989; - ;2,788088E-005; - 
06/1989;3,086190E-005;3,534312E-005;19,68
07/1989;4,194290E-005;4,873173E-005;35,90
08/1989;5,742660E-005;6,650961E-005;36,92
09/1989;8,034990E-005;9,239392E-005;39,92
10/1989;1,130011E-004;1,290728E-004;40,64
11/1989;1,587459E-004;1,862189E-004;40,48
12/1989;2,335659E-004;2,781883E-004;47,13
01/1990;3,771157E-004;4,782058E-004;61,46
02/1990;6,836555E-004;8,209837E-004;81,29
03/1990;1,257552E-003;1,488607E-003;83,95
04/1990;1,614069E-003;1,657266E-003;28,35
05/1990;1,709725E-003;1,807746E-003;5,93
06/1990;1,879620E-003;1,970805E-003;9,94
07/1990;2,105394E-003;2,226616E-003;12,01
08/1990;2,392147E-003;2,514517E-003;13,62
09/1990;2,698400E-003;2,808967E-003;12,80
10/1990;3,048369E-003;3,206717E-003;12,97
11/1990;3,562291E-003;3,766289E-003;16,86
12/1990;4,203477E-003;4,386220E-003;18,00
01/1991;4,947516E-003;5,260394E-003;17,70
02/1991;5,987394E-003;6,370864E-003;21,02
03/1991;6,537412E-003;6,832751E-003;9,19
04/1991;7,047761E-003;7,429934E-003;7,81
05/1991;7,575021E-003;7,915108E-003;7,48
06/1991;8,217406E-003;8,695538E-003;8,48
07/1991;9,303743E-003;9,811176E-003;13,22
08/1991;1,072270E-002;1,133092E-002;15,25
09/1991;1,232310E-002;1,316540E-002;14,93
10/1991;1,511220E-002;1,656866E-002;22,63
11/1991;1,898430E-002;2,083674E-002;25,62
12/1991;2,347110E-002;2,545000E-002;23,63
01/1992;2,900010E-002;3,228078E-002;23,56
02/1992;3,707880E-002;4,028319E-002;27,86
